"cd102","103rd Congressional District","county","cntyname","fplace80","plac80nm","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","1990 POP","cd103 to county allocation factor","county to cd103 allocation factor"
"23","25","06037","Los Angeles CA"," "," ",118.547785,34.229593,23561,1,0.002658 
"23","26","06037","Los Angeles CA"," "," ",118.473152,34.202076,33533,1,0.003783 
"23","29","06037","Los Angeles CA"," "," ",118.431054,34.068823,164149,1,0.01852 
"23","32","06037","Los Angeles CA"," "," ",118.388418,34.043696,48680,1,0.005492 
"24","26","06037","Los Angeles CA"," "," ",118.379856,34.183846,100730,0.417246,0.011365 
"24","27","06037","Los Angeles CA"," "," ",118.26953,34.13569,4798,1,0.000541 
"24","29","06037","Los Angeles CA"," "," ",118.330118,34.099544,224784,1,0.025362 
"24","30","06037","Los Angeles CA"," "," ",118.291486,34.080273,254573,0.493644,0.028723 
"24","32","06037","Los Angeles CA"," "," ",118.350584,34.054849,32031,1,0.003614 
"24","33","06037","Los Angeles CA"," "," ",118.273982,34.066131,16877,1,0.001904 
"25","27","06037","Los Angeles CA"," "," ",118.142686,34.168046,105171,1,0.011866 
"25","30","06037","Los Angeles CA"," "," ",118.207237,34.089713,267406,1,0.03017 
"25","31","06037","Los Angeles CA"," "," ",118.17663,34.057872,78528,0.841609,0.00886 
"25","33","06037","Los Angeles CA"," "," ",118.225371,34.040459,122752,1,0.01385 
"25","34","06037","Los Angeles CA"," "," ",118.159989,34.026049,27210,1,0.00307 
"26","24","06037","Los Angeles CA"," "," ",118.463613,34.157745,66574,0.099701,0.007511 
"26","25","06037","Los Angeles CA"," "," ",118.496538,34.25868,62887,1,0.007095 
"26","26","06037","Los Angeles CA"," "," ",118.429409,34.238007,417001,0.620461,0.047049 
"26","27","06037","Los Angeles CA"," "," ",118.329837,34.182993,44245,1,0.004992 
"26","29","06037","Los Angeles CA"," "," ",118.408586,34.132008,49739,1,0.005612 
"27","29","06037","Los Angeles CA"," "," ",118.482496,34.03038,132894,1,0.014994 
"27","32","06037","Los Angeles CA"," "," ",118.422721,34.019961,66800,1,0.007537 
